Age,Location1,Sex,HCN1_21_ratio,HCN1_24_ratio,HOXB9_44_ratio,HOXB9_47_ratio,HOXB9_58_ratio,HOXB9_60_ratio,HSPA2_34_ratio,HSPA2_41_ratio,HSPA2_60_ratio,HSPA2_74_ratio,IGF2BP3_36_ratio,IGF2BP3_51_ratio,IGF2BP3_58_ratio,MDGA2_40_ratio,MDGA2_43_ratio,MDGA2_45_ratio,MDGA2_58_ratio,MDGA2_73_ratio,OTP_62_ratio,OTP_73_ratio,PBX3_62_ratio,POU4F1_71_ratio,SLC12A5_54_ratio,SLC12A5_59_ratio,SLC12A5_61_ratio,SLC12A5_64_ratio,SLC12A5_86_ratio,SLC12A5_93_ratio
15.1,Eastern DPS,F,0.035018142,0.04205084,0.10627207,0.258207594,0.185270186,0.164138861,0.194722111,0.274200534,0.595082024,0.425661479,0.030668605,0.035483386,0.031136857,0.046226247,0.023681501,0.036839975,0.064652888,0.048469388,0.076028287,0.038196056,0.453295816,0.012026416,0.077686916,0.041130273,0.111572392,0.210347531,0.041413659,0.053357195
13.1,Eastern DPS,F,0.026790123,0.027781286,0.102405545,0.235878837,0.154502746,0.153723616,0.308974909,0.351122958,0.599497734,0.479366521,0.032237127,0.031654035,0.037760417,0.038904766,0.026080806,0.036057045,0.082691602,0.044539844,0.090521442,0.038661047,0.446974847,0.010373565,0.071585026,0.049501698,0.109377786,0.198388541,0.037057522,0.044743343
15.1,Eastern DPS,F,0.043799906,0.037744864,0.153043821,0.254323696,0.193961926,0.153370678,0.282692047,0.275759642,0.573114418,0.42718076,0.025813953,0.027850512,0.042312139,0.033567649,0.033970926,0.027696116,0.070229612,0.035425101,0.077038111,0.036640741,0.442693887,0.015452808,0.081174867,0.041119978,0.093732481,0.17734657,0.039068016,0.057089596
10.4,Western DPS,F,0.025853985,0.015768194,0.120615486,0.26114082,0.170375236,0.12898431,0.194461008,0.26347431,0.58834753,0.40352925,0.012326311,0.023250352,0.031967582,0.02168719,0.027516545,0.049338358,0.080588339,0.036234458,0.071439269,0.023285707,0.460960636,0.023837606,0.063354787,0.024406118,0.08676233,0.135057471,0.026221577,0.047393365
16.8,Eastern DPS,F,0.030977983,0.034595807,0.136567987,0.319893146,0.195080187,0.145400467,0.213654242,0.22724296,0.546561711,0.443262683,0.029030939,0.021874118,0.035075747,0.03744186,0.016514721,0.033196908,0.064740959,0.046893848,0.024548402,0.002513405,0.432783019,0.014133306,0.070580095,0.038668502,0.082767269,0.173885618,0.041295371,0.047357066
13.8,Eastern DPS,F,0.02663069,0.0197563,0.125613828,0.285534164,0.191466352,0.190737052,0.22177038,0.318248454,0.583907908,0.453075831,0.030916245,0.031186243,0.038081805,0.05949525,0.02292618,0.014814815,0.075737136,0.048729218,0.080710938,0.03304624,0.434134867,0.011354768,0.032489083,0.053936284,0.078821967,0.202161224,0.031937885,0.035058297
17.8,Eastern DPS,F,0.026697091,0.024339601,0.125,0.341463415,0.140243902,0.1625,0.259950437,0.267595705,0.633230294,0.435770647,0.024566001,0.019815511,0.01428097,0.029769312,0.035066728,0.034914115,0.075934913,0.054380104,0.081481481,0.022556391,0.439469485,0.014356214,0.058147536,0.033555487,0.094507669,0.204409567,0.036005915,0.053292535
17.1,Eastern DPS,F,0.026596354,0.040882319,0.109354578,0.301042945,0.169924905,0.150822327,0.228050554,0.257922993,0.531670514,0.350980278,0.024448137,0.021445783,0.018435358,0.026759531,0.021692934,0.031932021,0.069323294,0.046261431,0.098648649,0.038666667,0.416881083,0.01319663,0.063439567,0.039598676,0.096523371,0.168445601,0.024320059,0.048899083
16.1,Eastern DPS,M,0.030440868,0.032653061,0.093023256,0.244274809,0.175572519,0.092307692,0.252137035,0.28368898,0.589300641,0.491792703,0.033457249,0.025660377,0.030291836,0.029878618,0.030998703,0.031679539,0.085393559,0.029034789,0.096929513,0.033820624,0.440752077,0.013804813,0.061461794,0.041354238,0.093338352,0.17971564,0.040704501,0.050791812
18.1,Eastern DPS,F,0.02790641,0.028937323,Nan,Nan,Nan,Nan,0.28579161,0.300433839,0.598994343,0.469833119,0.023552502,0.025434399,0.028815629,0.030757443,0.02053562,0.031189711,0.078029643,0.047400448,0.092883895,0.027586207,0.450037193,0.016822927,0.080376229,0.041184637,0.113528855,0.186175291,0.040653569,0.064262421
15.1,Western DPS,M,0.044560541,0.028580304,0.085971879,0.245432464,0.109879671,0.111575115,0.263271801,0.297912317,0.60896837,0.459694088,0.02209782,0.024390244,0.039365452,0.031948882,0.022078556,0.041687284,0.086842761,0.047999018,0.098944075,0.028923197,0.45508933,0.012409872,0.06834686,0.04607866,0.08976834,0.181977083,0.040191007,0.059446733
9.1,Western DPS,M,0.027936508,0.028534787,0.074884561,0.205585264,0.120287253,0.10556891,0.242957746,0.301886792,0.537037037,0.418867925,0.014662757,0.021314387,0.025730994,0.023227969,0.013020228,0.023468669,0.059549746,0.025064418,0.062015504,0.028502045,0.430565497,0.007173252,0.054718721,0.026064005,0.06161272,0.145381984,0.026883309,0.045850261
9.1,Western DPS,M,0.01808371,0.037255191,0.118181818,0.294642857,0.159292035,0.150442478,0.222727273,0.197044335,0.581730769,0.41,0.030496257,0.015198424,0.015737162,0.029005336,0.034542086,0.030144695,0.074384711,0.047535921,0.063109486,0.027542373,0.449328539,0.013204291,0.060588235,0.028952381,0.085453359,0.149359886,0.038352755,0.047231815
15.1,Western DPS,F,0.035144101,0.036575229,0.105519481,0.32689211,0.176470588,0.119426752,0.333479097,0.338727598,0.625250227,0.557679631,Nan,Nan,Nan,0.031456191,0.026104418,0.029635774,0.080647625,0.068224937,0.088431877,0.042118046,0.463272201,0.003874933,0.07619857,0.045036621,0.113027661,0.20165258,0.041578031,0.060282554
11.1,Western DPS,M,0.01545932,0.028845194,0.109570042,0.306206897,0.117166213,0.141490089,0.087248322,Nan,Nan,Nan,0.102430556,0.003490401,Nan,0.021811751,0.014839083,0.017499514,0.05546875,0.022718447,0.032246289,0.004006188,0.441699557,0.009345794,0.052317881,0.027091825,0.070160957,0.142620575,0.025662778,0.040571789
17.1,Western DPS,F,0.02519557,0.029818629,0.059221909,0.1762847,0.086708861,0.086130246,0.304343308,0.290475831,0.538419178,0.425462703,0.030804843,0.020905923,0.026594789,0.03166287,0.0172949,0.021771548,0.069714459,0.036493102,0.072923225,0.029722027,0.44433741,0.022059077,0.080534651,0.03475,0.10149919,0.193571356,0.03728278,0.053487645
9.1,Western DPS,F,0.024649446,0.022547409,0.068172995,0.199602021,0.084758764,0.077738243,0.205399203,0.22183122,0.523223243,0.367563217,0.024668435,0.01681128,0.027542373,0.01453921,0.011420172,0.011923688,0.035279246,0.015676474,0.053047721,0.021734259,0.447361729,0.011744596,0.057868443,0.028481487,0.07282985,0.151695573,0.029190332,0.04198924
9.1,Western DPS,M,0.035525951,0.023152022,0.087179487,0.2825,0.14213198,0.129770992,0.235421687,0.249403047,0.623795228,0.439419726,0.016227181,0.013477089,0.022985161,0.027530954,0.015595936,0.015311281,0.074458618,0.02519073,0.06037213,0.023277344,0.450693481,0.008101581,0.061428261,0.037058824,0.082161948,0.161861205,0.03244898,0.039878234
19.1,Western DPS,F,0.036305908,0.038701623,0.156565657,0.341584158,0.217171717,0.175879397,0.238238615,0.307769223,0.653029718,0.541005934,0.027256208,0.010229386,0.037082067,0.041355037,0.028960998,0.035805355,0.078388913,0.052249172,0.10357233,0.038866142,0.46356975,0.013305613,0.079133858,0.034298441,0.109047911,0.216387665,0.033529146,0.077416441
11.1,Western DPS,M,0.034524701,0.031244118,0.091941567,0.32240553,0.17607233,0.146047456,0.277740981,0.274198251,0.574174561,0.40629771,0.034956076,0.01185994,0.019192104,0.061523583,0.02722063,0.031390786,0.083524961,0.040400403,0.09221902,0.046511628,0.451860332,0.015685218,0.057988776,0.050098094,0.105513363,0.181302287,0.0414373,0.051991816
15.1,Western DPS,F,0.037609872,0.040485138,0.09458502,0.292169867,0.158340767,0.139039855,0.327147192,0.280878233,0.588006062,0.444780098,0.023102968,0.026363092,0.026711516,0.032484033,0.024787347,0.029002009,0.063222441,0.054012346,0.081098065,0.027917365,0.454013531,0.02280605,0.066119976,0.042389525,0.107454711,0.209622444,0.039234256,0.058922333
18.1,Eastern DPS,F,0.035842738,0.043445693,0.072981011,0.215341545,0.078619154,0.055726687,0.343133424,0.336259923,0.670000505,0.572953924,0.020804048,0.024726855,0.050507901,0.041170098,0.033915962,0.035995765,0.086888407,0.053975286,0.110998418,0.047653929,0.4446014,0.010241556,0.09271028,0.050581477,0.123068553,0.233209363,0.043177697,0.058627211
18.1,Western DPS,F,0.033561093,0.036352497,0.157738801,0.294069815,0.201451697,0.174349745,0.263919225,0.290424827,0.618211589,0.472797505,0.032241107,0.025922592,0.027159629,0.0356837,0.023047375,0.032694267,0.075317777,0.045123189,0.100232401,0.03334329,0.459107892,0.011385859,0.071820928,0.043215473,0.100739827,0.192360164,0.041129135,0.057373942
17.1,Western DPS,F,0.040533811,0.042600669,0.103909291,0.315774989,0.154307075,0.146431364,0.277523834,0.274727493,0.52279674,0.441108697,Nan,Nan,Nan,0.030769231,0.019051839,0.01744186,0.062298108,0.043331837,0.152108434,0.004064817,0.419738468,0.021505376,0.067475958,0.040826785,0.087180958,0.171823284,0.038297246,0.043414705
16.1,Western DPS,M,0.033540373,0.046811609,0.125705882,0.341877361,0.132061289,0.160676779,0.292204415,0.292034446,0.599038809,0.451830392,0.019689599,0.021553766,0.051388889,0.025773633,0.020949264,0.026998018,0.073575747,0.059508088,0.107569721,0.016877637,0.448185838,0.016646849,0.085159296,0.044143257,0.130645451,0.217250285,0.04499382,0.067176507
16.1,Eastern DPS,F,0.035689476,0.037828803,0.076100392,0.299487017,0.183004473,0.120106101,0.304011559,0.314066272,0.596631883,0.481909395,0.039803865,0.01986456,0.035729722,0.040475588,0.025622135,0.029350971,0.084336342,0.04035579,0.083609634,0.026910095,0.449452994,0.020938245,0.06118175,0.050573054,0.088738324,0.1824745,0.029285275,0.049055331
16.1,Eastern DPS,F,0.020566258,0.01880141,0.125168626,0.302693683,0.169931837,0.121581422,0.2617475,0.280282543,0.600093291,0.44110335,0.00612323,0.004198473,0.001902588,0.040549027,0.028777596,0.039569594,0.094777906,0.042901716,Nan,Nan,0.439466239,0.021276596,0.076416252,0.037908115,0.120105185,0.223914043,0.04239226,0.059876038
5.2,Eastern DPS,F,0.021690905,0.016560929,0.112984823,0.263772955,0.144262295,0.146381579,0.283315799,0.238642711,0.514297275,0.385970532,0.019296565,0.01582015,0.015961801,0.0237057,0.021286441,0.02241005,0.046561265,0.038560813,0.054925575,0.021468066,0.433713634,0.006601777,0.061549602,0.03814294,0.065704331,0.140976504,0.037529853,0.045669824
5.2,Eastern DPS,F,0.018027298,0.022216482,Nan,Nan,Nan,Nan,0.252313883,0.234771009,0.531480677,0.396714129,0.018590998,0.012012012,0.032226563,0.023464998,0.016048911,0.017347726,0.050603348,0.034055728,0.057880231,0.020273695,0.447781726,0.007229708,0.04848736,0.033542039,0.055319149,0.139072848,0.034607646,0.039968026
12.2,Eastern DPS,F,0.017069008,0.029023095,0.197157778,0.433218168,0.252468979,0.264618518,0.294754311,0.279469586,0.588340141,0.446448789,0.037124337,0.020753576,0.025256511,0.031518625,0.028653589,0.029512271,0.072658547,0.038789517,0.074715589,0.03108435,0.438804644,0.00811585,0.099609375,0.004296455,0.103311913,0.169567379,0.002345216,0.046253469
8,Eastern DPS,M,0.026060388,0.030275644,0.081364481,0.268064962,0.175562072,0.131983699,0.165289256,0.185520362,0.517857143,0.444933921,0.020449579,0.014258555,0.014941466,0.028062298,0.020180453,0.014792074,0.047385621,0.026332288,0.06421425,0.020773961,0.449061004,0.012564954,0.065749772,0.026843518,0.085667752,0.179006683,0.029676985,0.037046908
7.9,Eastern DPS,M,0.02901538,0.024880383,Nan,Nan,Nan,Nan,0.19835278,0.252397559,0.556294186,0.430986219,0.028188287,0.017149283,0.026258206,0.028638132,0.016346299,0.024770642,0.050412323,0.03643043,Nan,Nan,0.469727861,0.014355157,0.054001721,0.038988164,0.060806743,0.140751212,0.031347962,0.041546093
14.1,Western DPS,M,0.041948822,0.044598969,0.109906324,0.323291549,0.173868313,0.151700612,0.195915715,0.225773954,0.512984948,0.428021638,0.031798362,0.023505199,0.031114404,0.037778526,0.038884232,0.030546244,0.098855309,0.041592255,0.080270673,0.029501716,0.433077611,0.011343927,0.056466877,0.033511269,0.074068627,0.176020534,0.040370446,0.054911967
17.1,Western DPS,M,0.029079861,0.031776995,0.095531777,0.250614176,0.157688953,0.133611373,0.221502591,0.249603329,0.482801845,0.402171969,0.026577697,0.022069927,0.029032987,0.031891263,0.019830318,0.028413494,0.072587036,0.040608349,0.08268932,0.029081375,0.422939826,0.012725345,0.064855181,0.04143996,0.084606663,0.154689535,0.031433854,0.04122575
12.1,Western DPS,M,0.025022183,0.045110542,0.092098658,0.279649948,0.144329897,0.136339523,0.280313688,0.280427555,0.544068405,0.436875116,0.022816167,0.02846342,0.028119891,0.033420422,0.030911576,0.032844388,0.085409253,0.048096299,0.092809172,0.040318888,0.463124359,0.015084344,0.086579013,0.031272249,0.110565111,0.185156916,0.033530205,0.060244296
14.1,Western DPS,F,0.028308208,0.028704095,0.127250251,0.27675053,0.196570867,0.168968938,0.228338154,0.242437252,0.526783431,0.417893914,0.027293006,0.019879113,0.025661168,0.029621588,0.015419501,0.022704686,0.060876369,0.033837458,0.080132949,0.028462654,0.430240683,0.011817017,0.073632688,0.037397072,0.095686947,0.172833589,0.041112214,0.048524654
18.1,Western DPS,F,0.036102581,0.032851955,0.111862027,0.303837999,0.168482019,0.130879524,0.251860937,0.27067283,0.592027559,0.475101556,0.041900187,0.033605442,0.035837996,0.039493706,0.027291486,0.035321132,0.099658237,0.051458671,0.103359436,0.033013773,0.443704677,0.01328408,0.090192557,0.04154002,0.116914316,0.217344562,0.045067555,0.063045676
12.1,Western DPS,M,0.024759196,0.030747089,0.123337823,0.324321574,0.183800942,0.161040474,0.213259056,0.24830535,0.534899195,0.389916194,0.026318527,0.026066603,0.025488972,0.036779264,0.024265941,0.030372191,0.080535309,0.040534991,0.076056338,0.02329467,0.441582744,0.011622437,0.065937642,0.035264484,0.085384615,0.183242953,0.038132726,0.050218076
20.1,Western DPS,F,0.035324782,0.039591668,0.143484505,0.382727817,0.247025121,0.224654346,0.286075949,0.294642857,0.611731844,0.465714286,0.030299283,0.021292873,0.03483887,0.041646721,0.026605505,0.03992572,0.086551885,0.058139535,0.224094864,0.001931876,0.446821838,0.013526386,0.073163007,0.03576405,0.094740839,0.187380497,0.035021765,0.051121951
17.1,Western DPS,F,0.044562334,0.047407521,0.134211586,0.343555857,0.186204986,0.166944167,0.287525713,0.288176878,0.562349832,0.428086174,0.018024411,0.021663274,0.034183165,0.035412403,0.027694418,0.031236443,0.08810882,0.045165228,0.091603053,0.03125,0.447112866,0.008693513,0.074303608,0.036054081,0.117068026,0.197512672,0.051093156,0.059697985
14.1,Western DPS,F,0.02872191,0.032576997,0.0779418,0.302374762,0.115309605,0.136031341,0.264980741,0.245199757,0.523063874,0.393377219,0.024926873,0.020408163,0.028036192,0.038611637,0.031771429,0.030519818,0.08647541,0.036704163,0.077458738,0.029100529,0.434760186,0.011761698,0.073801571,0.037442113,0.070090783,0.172242315,0.021064629,0.038674033
14.1,Western DPS,F,0.034077939,0.032380013,0.183098592,0.319783198,0.25,0.18579235,0.333333333,0.31443299,0.63681592,0.595959596,0.054330709,0.045345104,0.077074322,0.043137834,0.021030346,0.038505419,0.093912291,0.041019798,0.081081081,0.027272727,0.438795463,0.009462366,0.091621545,0.04593999,0.084072503,0.248414239,0.031520883,0.058784936
8.1,Western DPS,F,0.013820471,0.025225225,0.057251908,0.208955224,0.109848485,0.106463878,0.210765024,0.20815391,0.513339157,0.415836791,0.025723473,0.011678832,0.029094828,0.025666962,0.020430769,0.026322324,0.061423506,0.037993544,0.07615894,0.029315961,0.440400029,0.004144303,0.065061545,0.04616061,0.110764805,0.184911601,0.032457879,0.053634698
18.1,Western DPS,F,0.030906959,0.036614258,0.137295214,0.317912143,0.190094637,0.205702258,0.258057467,0.288028493,0.621566125,0.519773371,0.032093518,0.020701678,0.031939979,0.031525459,0.016504658,0.022315488,0.068545871,0.037502555,0.091923936,0.036333513,0.43941886,0.016976789,0.076512116,0.043505942,0.116552071,0.211978466,0.041336548,0.055916553
8.1,Western DPS,F,0.020129403,0.022847523,0.098274672,0.251868968,0.133296913,0.129746835,0.252960275,0.224174882,0.571428571,0.425908373,0.01362862,0.006063231,0.019591141,0.025253491,0.012052661,0.025957049,0.049886621,0.02545863,0.053508121,0.023628553,0.435476568,0.010109322,0.05247578,0.028871391,0.068193131,0.14941088,0.037046565,0.037663336
8.1,Western DPS,M,0.026872423,0.020088389,0.0740114,0.242893602,0.119444444,0.135952712,0.188812858,0.197505198,0.535591556,0.357956421,0.020716188,0.023353293,0.006826952,0.033956057,0.016219303,0.02654663,0.053654562,0.031466913,0.046983022,0.020533005,0.426989477,0.012695427,0.054290718,0.035236938,0.07803765,0.16094593,0.02067757,0.037852318
18.1,Western DPS,F,0.026629494,0.027537069,0.14379085,0.345679012,0.208333333,0.131736527,0.200158766,0.271922524,0.602966008,0.445223357,0.024905123,0.014795052,0.029376925,0.042675597,0.026911365,0.037052422,0.077732862,0.045454545,0.121301107,0.042376722,0.444781085,0.005316792,0.074662355,0.037648054,0.107553987,0.206487677,0.045454545,0.053327571
20.1,Western DPS,F,0.029606039,0.024273586,0.111027644,0.286576391,0.157253998,0.16437659,0.279863481,0.263736264,0.589041096,0.409893993,0.034146341,0.035134239,0.035275081,0.032454152,0.035929326,0.039856158,0.076054906,0.048878205,0.061465721,0.031100478,0.416702044,0.014304666,0.061711491,0.037068508,0.090028694,0.169383161,0.033852966,0.048508146
14.1,Western DPS,F,0.019893899,0.035780765,0.078914264,0.231394354,0.092290377,0.094745414,0.252721547,0.278690127,0.589872945,0.46452205,0.030393013,0.023613596,0.026302038,0.025459464,0.018770932,0.019020671,0.070253267,0.032530596,0.07644887,0.035106817,0.437990125,0.016294991,0.088586957,0.036450079,0.092238249,0.204691676,0.044935733,0.051624658
12.1,Western DPS,F,0.027648734,0.03365166,0.074027149,0.17668059,0.098267133,0.083474256,0.213093594,0.239969695,0.586310188,0.436713976,0.025095189,0.022812333,0.030518467,0.024581838,0.024539072,0.027759331,0.066374368,0.035723789,0.073963199,0.032522654,0.437430502,0.010815382,0.055732024,0.034557235,0.0735138,0.145144077,0.034406215,0.044857768
14.1,Western DPS,M,0.026737412,0.019133726,0.117830543,0.246054609,0.119548872,0.10227631,0.267653139,0.295948589,0.611031755,0.442656508,0.024450985,0.032669138,0.041288566,0.025487399,0.010983896,0.019975617,0.06471038,0.035355904,0.066666667,0.017182131,0.432916346,0.011868911,0.053876085,0.041916168,0.085562477,0.169594408,0.034385037,0.058894678
8.1,Western DPS,M,0.032835467,0.029450497,0.064512553,0.176480236,0.0880942,0.07735234,0.195029109,0.238662132,0.550906135,0.416820475,0.014799636,0.020715631,0.021378212,0.032752613,0.014883268,0.021957464,0.067581198,0.03702245,0.065307696,0.025495145,0.463206693,0.00952473,0.064812239,0.035911602,0.08038667,0.179493736,0.033934252,0.043671548
8.1,Western DPS,F,0.023623058,0.028033744,0.07758391,0.190594871,0.096842105,0.114650947,0.248722589,0.233590963,0.533943598,0.382802884,0.021058173,0.022216202,0.028165307,0.025071476,0.015598291,0.022884283,0.055982437,0.029544964,0.060121004,0.025861661,0.437909312,0.01068213,0.052597233,0.037473976,0.076601338,0.143542967,0.041558119,0.035552841
13,Eastern DPS,F,0.028864929,0.034390852,0.123978813,0.316179389,0.205615703,0.147523475,0.250580046,0.248653167,0.546816815,0.405056334,0.02527436,0.026773533,0.027689741,0.027422938,0.023489029,0.027209506,0.071384404,0.037455734,0.063074855,0.027627864,0.440060559,0.014598858,0.075189615,0.036318843,0.106276371,0.181276088,0.038558143,0.046335697
20.1,Eastern DPS,F,0.032736201,0.040634746,0.116592146,0.284731512,0.155211913,0.114800713,0.267660288,0.294054551,0.568896012,0.416608269,0.026329465,0.025865144,0.03860135,0.037635431,0.0320161,0.034284122,0.088602838,0.049301637,Nan,Nan,0.423535062,0.014278989,0.083644462,0.044611045,0.129095524,0.227082607,0.053818095,0.064837905
6,Eastern DPS,F,0.032663453,0.025208254,0.098300018,0.278184956,0.124188598,0.136625181,0.198255353,0.233699714,0.542644642,0.371852671,0.017832896,0.014158316,0.020509577,0.02135602,0.015225206,0.02219461,0.049453635,0.03197922,0.03654485,0.016233766,0.428947968,0.00870157,0.044886169,0.023786008,0.079081902,0.148744183,0.033465498,0.028110999
6.1,Eastern DPS,M,0.025219007,0.017656501,0.091549296,0.297202797,0.142857143,0.147260274,0.185027748,0.208036264,0.484144213,0.432328528,0.020557491,0.013193083,0.025061339,0.031655659,0.021121523,0.020861576,0.064717053,0.031977833,0.051690325,0.025989753,0.455583342,0.01384521,0.058072241,0.04110174,0.078725143,0.151024515,0.030803907,0.046463893
6.1,Eastern DPS,M,0.025075146,0.023898372,0.090785068,0.25519872,0.120369231,0.101732951,0.2334877,0.219407298,0.533239547,0.4505996,0.013786765,0.016723444,0.016207951,0.02677524,0.014413086,0.025706941,0.05902563,0.032587384,0.05985936,0.01884639,0.427626405,0.006538106,0.053689792,0.031795362,0.066517494,0.155963303,0.032170462,0.037083074
6.1,Eastern DPS,M,0.022708949,0.024693042,0.160714286,0.322695035,0.173758865,0.146428571,0.241401051,0.234803161,0.546170063,0.410190169,0.01575898,0.011862396,0.030027933,0.022406748,0.02125775,0.03772861,0.053622436,0.036210634,0.062816828,0.02044893,0.459786758,0.008629799,0.074486804,0.031303602,0.071951437,0.17224709,0.032014719,0.042864994
6.2,Eastern DPS,M,0.002570694,0.003924647,Nan,0.167597765,0.116809117,0.075362319,0.247011345,0.03561482,0.41670038,0.24011713,0.058668771,0.031301483,0.009811721,0.003487179,0.003038282,0.011413431,0.024740125,0.014980128,0.016207455,0.014308426,0.358824104,0.002398384,0.026749941,0.003275797,0.037675534,0.088181402,0.014290776,0.032375367
18.4,Western DPS,F,0.024543081,0.029463346,0.116634799,0.301622052,0.15045835,0.157265298,0.241733353,0.263840687,0.518755499,0.395102041,0.030162413,0.021457966,0.035807104,0.031968504,0.023619678,0.037319117,0.071265069,0.044231646,0.075144509,0.048484848,0.429606157,0.013410786,0.065293093,0.031523096,0.048866091,0.139446555,0.027847396,0.040121749
10.4,Western DPS,F,0.016218833,0.016544118,0.07875895,0.205542725,0.150812065,0.125295508,0.161417842,0.202621876,0.426587146,0.338290859,0.028087279,0.017852892,0.032440056,0.034463795,0.016705378,0.018147346,0.075,0.040851294,0.072304914,0.013195391,0.42999007,0.010409077,0.068480122,0.050035813,0.096111016,0.168792004,0.025882772,0.042459865
14,Eastern DPS,F,0.03094759,0.03803872,0.110480549,0.335317997,0.17368709,0.144995409,0.193735499,0.239490446,0.570725707,0.505703422,0.038172043,0.020608575,0.025190942,0.029417773,0.027860697,0.025496888,0.062759767,0.033883521,0.075678009,0.028662873,0.419147372,0.015160939,0.055357696,0.034122042,0.067280298,0.131993201,0.018543852,0.047149369
